Goal,habit,task,extra 
Goal: Understand Hono Edge Runtime Framework,habit_count: 2,task_count: 6,"Extra: 4-week edge computing; serverless student building ultra-fast APIs, targeting Hono through edge deployment, request routing, middleware system, TypeScript integration, performance optimization, and multi-platform compatibility."
,,,
Goal: Learn tRPC Type-Safe APIs,habit_count: 3,task_count: 8,"Extra: 6-week full-stack type safety; TypeScript student building end-to-end applications, targeting tRPC through procedure definition, client generation, middleware integration, error handling, real-time subscriptions, testing strategies, performance optimization, and developer experience."
,,,
Goal: Master Drizzle ORM Database Toolkit,habit_count: 2,task_count: 7,"Extra: 5-week type-safe database; backend student optimizing data access, targeting Drizzle through schema definition, query building, migration management, type inference, performance optimization, database compatibility, and development workflows."
,,,
Goal: Understand Lucia Authentication Library,habit_count: 2,task_count: 8,"Extra: 6-week secure authentication; security-focused student implementing user management, targeting Lucia through session handling, password security, OAuth integration, CSRF protection, rate limiting, security best practices, framework compatibility, and user experience."
,,,
Goal: Learn Mantine UI Component Library,habit_count: 2,task_count: 6,"Extra: 4-week React components; frontend student building consistent interfaces, targeting Mantine through component usage, theme customization, form handling, hooks utilities, accessibility features, and design system implementation."
,,,
Goal: Master Chakra UI Design System,habit_count: 3,task_count: 7,"Extra: 5-week component design; React developer student creating accessible interfaces, targeting Chakra UI through component composition, theme configuration, responsive design, accessibility standards, custom components, performance optimization, and team collaboration."
,,,
Goal: Understand Radix UI Primitives,habit_count: 2,task_count: 8,"Extra: 6-week headless components; advanced frontend student building custom design systems, targeting Radix through primitive composition, accessibility implementation, styling flexibility, keyboard navigation, focus management, ARIA compliance, custom theming, and component architecture."
,,,
Goal: Learn Stitches CSS-in-JS,habit_count: 2,task_count: 6,"Extra: 4-week performant styling; design systems student optimizing CSS delivery, targeting Stitches through variant creation, theme tokens, responsive utilities, performance optimization, TypeScript integration, and maintainable styling architecture."
,,,
Goal: Master Vanilla Extract CSS,habit_count: 3,task_count: 7,"Extra: 5-week zero-runtime CSS; performance-focused student eliminating runtime styling costs, targeting Vanilla Extract through build-time generation, type safety, theme systems, utility creation, performance optimization, framework integration, and scalable styling patterns."
,,,
Goal: Understand Windi CSS Utility Framework,habit_count: 2,task_count: 6,"Extra: 4-week utility-first styling; rapid development student speeding up UI creation, targeting Windi CSS through utility classes, variant generation, attributify mode, build optimization, IDE integration, and development workflow enhancement."
,,,
Goal: Learn UnoCSS Atomic Framework,habit_count: 2,task_count: 7,"Extra: 5-week instant CSS; performance student building zero-config styling, targeting UnoCSS through preset configuration, rule creation, build integration, performance optimization, IDE support, framework compatibility, and atomic CSS methodology."
,,,
Goal: Master Headless UI Components,habit_count: 3,task_count: 8,"Extra: 6-week accessible primitives; accessibility-focused student building inclusive interfaces, targeting Headless UI through component implementation, keyboard navigation, screen reader support, focus management, ARIA patterns, styling flexibility, framework integration, and inclusive design."
,,,
Goal: Understand React Hook Form,habit_count: 2,task_count: 7,"Extra: 5-week performant forms; React student optimizing form handling, targeting React Hook Form through validation setup, performance optimization, error handling, submission management, field arrays, custom hooks, and user experience enhancement."
,,,
Goal: Learn Formik Form Management,habit_count: 2,task_count: 6,"Extra: 4-week form state; frontend student handling complex forms, targeting Formik through field management, validation schemas, error handling, submission flow, performance optimization, and form architecture."
,,,
Goal: Master React Query Data Fetching,habit_count: 3,task_count: 8,"Extra: 6-week server state; data-heavy application student optimizing API interactions, targeting React Query through cache management, mutation handling, optimistic updates, background refetching, error boundaries, performance optimization, offline support, and data synchronization."
,,,
Goal: Understand SWR Data Fetching,habit_count: 2,task_count: 7,"Extra: 5-week stale-while-revalidate; React developer student implementing smart caching, targeting SWR through cache strategies, error handling, revalidation triggers, mutation support, performance optimization, offline functionality, and data consistency."
,,,
Goal: Learn Zustand State Management,habit_count: 2,task_count: 6,"Extra: 4-week simple state; React student avoiding Redux complexity, targeting Zustand through store creation, state updates, async actions, middleware integration, DevTools support, and performance optimization."
,,,
Goal: Master Jotai Atomic State,habit_count: 3,task_count: 7,"Extra: 5-week bottom-up state; complex application student managing granular state, targeting Jotai through atom creation, derived state, async atoms, persistence integration, DevTools usage, performance optimization, and state composition."
,,,
Goal: Understand Valtio Proxy State,habit_count: 2,task_count: 6,"Extra: 4-week mutable state; React student wanting simple state mutations, targeting Valtio through proxy creation, snapshot usage, subscription handling, async actions, performance considerations, and development patterns."
,,,
Goal: Learn Redux Toolkit Modern Redux,habit_count: 3,task_count: 8,"Extra: 6-week enterprise state; large application student managing complex state, targeting Redux Toolkit through slice creation, async thunks, entity adapters, middleware setup, DevTools integration, testing strategies, performance optimization, and scalable architecture."
,,,
Goal: Master MobX Reactive State,habit_count: 2,task_count: 7,"Extra: 5-week observable state; object-oriented student implementing reactive patterns, targeting MobX through observable creation, computed values, reactions, actions, strict mode, performance optimization, and architectural patterns."
,,,
Goal: Understand Recoil Experimental State,habit_count: 2,task_count: 8,"Extra: 6-week Facebook state; advanced React student exploring experimental patterns, targeting Recoil through atom definition, selector creation, async queries, state persistence, concurrent features, performance optimization, debugging tools, and future-ready patterns."
,,,
Goal: Learn React Router Navigation,habit_count: 2,task_count: 6,"Extra: 4-week client routing; SPA student implementing navigation, targeting React Router through route definition, dynamic routing, route guards, code splitting, SEO optimization, and navigation patterns."
,,,
Goal: Master Next.js App Router,habit_count: 3,task_count: 9,"Extra: 7-week full-stack React; modern web student building production applications, targeting Next.js through file-based routing, server components, API routes, middleware, image optimization, deployment strategies, performance optimization, SEO features, and production readiness."
,,,
Goal: Understand Gatsby Static Generation,habit_count: 2,task_count: 7,"Extra: 5-week JAMstack sites; content-focused student building fast websites, targeting Gatsby through GraphQL data layer, plugin ecosystem, image processing, build optimization, deployment strategies, performance optimization, and content management."
,,,
Goal: Learn Nuxt.js Vue Framework,habit_count: 2,task_count: 8,"Extra: 6-week Vue full-stack; Vue developer student building universal applications, targeting Nuxt.js through auto-routing, server-side rendering, static generation, module ecosystem, deployment options, performance optimization, SEO features, and developer experience."
,,,
Goal: Master SvelteKit Svelte Framework,habit_count: 3,task_count: 8,"Extra: 6-week reactive full-stack; performance student building efficient applications, targeting SvelteKit through component reactivity, routing system, server-side rendering, API endpoints, form actions, deployment strategies, performance optimization, and modern web patterns."
,,,
Goal: Understand Remix React Framework,habit_count: 2,task_count: 9,"Extra: 7-week web fundamentals; progressive enhancement student building resilient applications, targeting Remix through nested routing, data loading, form handling, error boundaries, progressive enhancement, deployment options, performance optimization, accessibility features, and web standards."
,,,
Goal: Learn Astro Multi-Framework,habit_count: 2,task_count: 7,"Extra: 5-week component islands; multi-framework student building optimized sites, targeting Astro through framework integration, partial hydration, content collections, build optimization, deployment strategies, performance monitoring, and modern static generation."
,,,
Goal: Master Qwik City Framework,habit_count: 3,task_count: 8,"Extra: 6-week resumable applications; performance-first student building instant-loading sites, targeting Qwik City through resumable execution, routing system, server functions, edge deployment, performance optimization, SEO features, development experience, and zero-hydration patterns."
,,,
Goal: Understand Fresh Deno Framework,habit_count: 2,task_count: 7,"Extra: 5-week edge-first development; modern runtime student building fast applications, targeting Fresh through Deno integration, islands architecture, TypeScript support, edge deployment, performance optimization, development experience, and web standards compliance."
,,,
Goal: Learn Angular Modern Framework,habit_count: 3,task_count: 9,"Extra: 8-week enterprise frontend; large-scale application student building complex interfaces, targeting Angular through component architecture, dependency injection, reactive forms, routing system, HTTP client, testing strategies, performance optimization, enterprise patterns, and production deployment."
,,,
Goal: Master Vue.js Composition API,habit_count: 2,task_count: 7,"Extra: 5-week reactive development; component-focused student building maintainable applications, targeting Vue.js through composition functions, reactivity system, component communication, lifecycle hooks, performance optimization, testing approaches, and modern development patterns."
,,,
Goal: Understand Solid.js Performance,habit_count: 2,task_count: 8,"Extra: 6-week fine-grained reactivity; performance student exploring React alternatives, targeting Solid.js through reactive primitives, component composition, performance optimization, ecosystem integration, migration strategies, development tools, testing approaches, and production considerations."
,,,
Goal: Learn Lit Web Components,habit_count: 2,task_count: 6,"Extra: 4-week standard components; web standards student building reusable elements, targeting Lit through component definition, property management, event handling, styling strategies, performance optimization, and framework interop."
,,,
Goal: Master Stencil Component Compiler,habit_count: 3,task_count: 8,"Extra: 6-week universal components; component library student building framework-agnostic elements, targeting Stencil through TypeScript components, build optimization, testing strategies, documentation generation, framework integration, performance optimization, distribution strategies, and design system creation."
,,,
Goal: Understand Alpine.js Minimal Framework,habit_count: 2,task_count: 5,"Extra: 3-week progressive enhancement; lightweight student adding interactivity to static sites, targeting Alpine.js through directive usage, component creation, state management, event handling, and performance optimization."
,,,
Goal: Learn HTMX Hypermedia Framework,habit_count: 2,task_count: 6,"Extra: 4-week server-driven UIs; backend-focused student building interactive interfaces, targeting HTMX through attribute-driven interactivity, AJAX requests, partial updates, form handling, WebSocket integration, and progressive enhancement."
,,,
Goal: Master Stimulus Modest JavaScript,habit_count: 2,task_count: 7,"Extra: 5-week Rails integration; full-stack student enhancing server-rendered applications, targeting Stimulus through controller definition, action handling, target management, value passing, lifecycle callbacks, testing strategies, and Rails integration."
,,,
Goal: Understand Hotwire Turbo Framework,habit_count: 2,task_count: 8,"Extra: 6-week SPA-like experience; Rails developer student building fast navigation, targeting Hotwire through Turbo Drive, Turbo Frames, Turbo Streams, WebSocket integration, form handling, caching strategies, performance optimization, and user experience enhancement."
,,,
Goal: Learn Phoenix LiveView Elixir,habit_count: 3,task_count: 9,"Extra: 8-week real-time web; functional programming student building interactive applications, targeting LiveView through process management, state handling, event processing, real-time updates, component composition, testing strategies, deployment options, performance optimization, and Elixir integration."
,,,
Goal: Master Django Web Framework,habit_count: 2,task_count: 8,"Extra: 6-week Python web development; backend student building robust applications, targeting Django through model definition, view creation, template system, URL routing, admin interface, authentication, testing framework, and deployment strategies."
,,,
Goal: Understand Flask Micro Framework,habit_count: 2,task_count: 7,"Extra: 5-week lightweight Python; minimalist student building flexible applications, targeting Flask through route handling, template rendering, database integration, extension usage, testing approaches, deployment options, and scalability patterns."
,,,
Goal: Learn FastAPI Modern Python,habit_count: 3,task_count: 8,"Extra: 6-week async API development; API-first student building high-performance services, targeting FastAPI through type hints, automatic documentation, async support, dependency injection, authentication, testing strategies, performance optimization, and production deployment."
,,,
Goal: Master Express.js Node Framework,habit_count: 2,task_count: 7,"Extra: 5-week JavaScript backend; full-stack student building REST APIs, targeting Express.js through middleware creation, routing system, error handling, database integration, authentication, testing approaches, and deployment strategies."
,,,
Goal: Understand Koa.js Async Framework,habit_count: 2,task_count: 6,"Extra: 4-week modern Node.js; async-focused student building clean APIs, targeting Koa.js through async middleware, context handling, error management, routing integration, testing strategies, and performance optimization."
,,,
Goal: Learn Hapi.js Configuration Framework,habit_count: 2,task_count: 8,"Extra: 6-week enterprise Node; configuration-centric student building scalable services, targeting Hapi.js through plugin architecture, validation system, authentication, caching strategies, testing framework, monitoring integration, security features, and enterprise patterns."
,,,
Goal: Master Ruby on Rails Framework,habit_count: 3,task_count: 9,"Extra: 8-week convention-driven development; rapid development student building full-stack applications, targeting Rails through MVC architecture, Active Record, routing system, asset pipeline, testing framework, deployment strategies, performance optimization, security practices, and Rails conventions."
,,,
Goal: Understand Sinatra Ruby Framework,habit_count: 2,task_count: 6,"Extra: 4-week minimal Ruby; lightweight student building simple web services, targeting Sinatra through route definition, template integration, middleware usage, testing approaches, deployment options, and scaling considerations."
,,,
Goal: Learn Laravel PHP Framework,habit_count: 2,task_count: 8,"Extra: 6-week elegant PHP; modern PHP student building web applications, targeting Laravel through Eloquent ORM, Blade templates, routing system, middleware, authentication, testing framework, deployment strategies, and ecosystem integration."
,,,
Goal: Master Symfony PHP Framework,habit_count: 3,task_count: 9,"Extra: 8-week enterprise PHP; component-based student building scalable applications, targeting Symfony through component architecture, dependency injection, routing system, form handling, security features, testing strategies, performance optimization, enterprise patterns, and ecosystem integration."
,,,
Goal: Understand Spring Boot Java Framework,habit_count: 2,task_count: 8,"Extra: 6-week Java microservices; enterprise student building production services, targeting Spring Boot through auto-configuration, dependency injection, data access, security integration, testing framework, monitoring setup, deployment strategies, and microservices patterns."
,,,
Goal: Learn ASP.NET Core Framework,habit_count: 2,task_count: 9,"Extra: 7-week .NET development; Microsoft stack student building web applications, targeting ASP.NET Core through MVC pattern, dependency injection, Entity Framework, authentication, API development, testing strategies, deployment options, performance optimization, and cloud integration."
,,,
Goal: Master Go Web Development,habit_count: 3,task_count: 8,"Extra: 6-week efficient backend; systems programming student building performant services, targeting Go through HTTP handlers, middleware creation, database integration, concurrent programming, testing approaches, performance optimization, deployment strategies, and microservices architecture."
,,,
Goal: Understand Rust Web Frameworks,habit_count: 2,task_count: 7,"Extra: 5-week systems web development; performance-critical student building safe services, targeting Rust web through framework selection, async programming, database integration, error handling, testing strategies, performance optimization, and memory safety."
,,,
Goal: Learn Elixir Phoenix Framework,habit_count: 2,task_count: 8,"Extra: 6-week functional web development; concurrent systems student building fault-tolerant applications, targeting Phoenix through process model, OTP patterns, real-time features, database integration, testing strategies, deployment options, performance characteristics, and distributed systems."
,,,
Goal: Master Kotlin Spring Development,habit_count: 3,task_count: 9,"Extra: 7-week modern JVM; Java alternative student building enterprise applications, targeting Kotlin Spring through language features, Spring integration, coroutines usage, database access, testing strategies, performance optimization, deployment patterns, enterprise architecture, and ecosystem integration."
,,,
Goal: Understand Scala Play Framework,habit_count: 2,task_count: 8,"Extra: 6-week functional JVM; functional programming student building reactive applications, targeting Play Framework through actor model, reactive streams, database integration, testing approaches, performance optimization, deployment strategies, and functional patterns."
,,,
Goal: Learn C# Minimal APIs,habit_count: 2,task_count: 7,"Extra: 5-week lightweight .NET; modern C# student building efficient services, targeting Minimal APIs through endpoint definition, dependency injection, middleware usage, authentication, testing strategies, performance optimization, and cloud deployment."
,,,
Goal: Master Node.js Performance Optimization,habit_count: 3,task_count: 8,"Extra: 6-week backend optimization; performance-focused student scaling Node applications, targeting optimization through profiling tools, memory management, async patterns, clustering strategies, caching implementation, database optimization, monitoring setup, and production tuning."
,,,
Goal: Understand Deno Backend Development,habit_count: 2,task_count: 7,"Extra: 5-week secure runtime; modern JavaScript student exploring Node alternatives, targeting Deno through TypeScript integration, security model, standard library, web APIs, deployment options, performance characteristics, and ecosystem compatibility."
,,,
Goal: Learn Bun Runtime Development,habit_count: 2,task_count: 6,"Extra: 4-week fast JavaScript; speed-focused student optimizing development workflow, targeting Bun through package management, bundling optimization, test running, development server, TypeScript support, and performance benefits."
,,,
Goal: Learn Basic Accounting Principles,habit_count: 3,task_count: 7,"Extra: 8-week financial foundation; business freshman understanding money flow, targeting accounting literacy through journal entries, balance sheets, income statements, cash flow analysis, ratio calculations, software usage, and financial report interpretation."
,,,
Goal: Master Excel Spreadsheet Skills,habit_count: 2,task_count: 6,"Extra: 5-week data analysis; business student preparing for internships, targeting Excel proficiency through formula creation, pivot tables, chart generation, data validation, macro basics, and business modeling."
,,,
Goal: Understand Market Research Methods,habit_count: 2,task_count: 8,"Extra: 6-week consumer insights; marketing student learning customer behavior, targeting research skills through survey design, interview techniques, data collection, analysis methods, report writing, competitor analysis, trend identification, and actionable recommendations."
,,,
Goal: Learn Social Media Marketing Basics,habit_count: 3,task_count: 5,"Extra: 4-week digital presence; marketing freshman building online skills, targeting social media through platform understanding, content creation, audience engagement, hashtag strategy, and performance metrics."
,,,
Goal: Master Email Marketing Fundamentals,habit_count: 2,task_count: 7,"Extra: 5-week customer communication; marketing student building relationships, targeting email skills through list building, campaign creation, automation setup, A/B testing, deliverability optimization, performance tracking, and customer retention."
,,,
Goal: Understand Customer Service Excellence,habit_count: 3,task_count: 6,"Extra: 6-week service quality; hospitality student improving interactions, targeting service skills through communication techniques, problem resolution, complaint handling, phone etiquette, empathy development, and customer satisfaction measurement."
,,,
Goal: Learn Basic Financial Planning,habit_count: 2,task_count: 8,"Extra: 7-week money management; finance student understanding personal wealth, targeting financial literacy through budgeting methods, investment basics, retirement planning, tax fundamentals, insurance understanding, debt management, emergency funds, and goal setting."
,,,
Goal: Master Presentation Skills,habit_count: 3,task_count: 6,"Extra: 4-week public speaking; business student overcoming stage fright, targeting presentation mastery through slide design, storytelling techniques, audience engagement, voice projection, body language, and confidence building."
,,,
Goal: Understand Sales Process Fundamentals,habit_count: 2,task_count: 7,"Extra: 6-week revenue generation; business development student learning persuasion, targeting sales skills through prospecting methods, needs assessment, objection handling, closing techniques, follow-up strategies, CRM usage, and relationship building."
,,,
Goal: Learn Project Management Basics,habit_count: 2,task_count: 8,"Extra: 5-week workflow organization; business student managing complex tasks, targeting PM skills through project planning, timeline creation, resource allocation, risk management, team coordination, progress tracking, budget management, and deliverable quality."
,,,
Goal: Master Basic Negotiation Skills,habit_count: 3,task_count: 6,"Extra: 4-week deal making; business student improving bargaining, targeting negotiation through preparation strategies, communication tactics, compromise techniques, win-win solutions, relationship preservation, and outcome optimization."
,,,
Goal: Understand Brand Identity Creation,habit_count: 2,task_count: 7,"Extra: 6-week brand building; marketing student developing visual identity, targeting branding through logo design, color psychology, typography selection, brand voice development, style guide creation, consistency maintenance, and brand positioning."
,,,
Goal: Learn Basic Copywriting Skills,habit_count: 3,task_count: 5,"Extra: 5-week persuasive writing; marketing student crafting compelling content, targeting copywriting through headline creation, benefit highlighting, call-to-action writing, audience targeting, and conversion optimization."
,,,
Goal: Master Google Analytics Setup,habit_count: 2,task_count: 6,"Extra: 3-week web analytics; digital marketing student tracking performance, targeting analytics through account configuration, goal setup, audience analysis, traffic interpretation, conversion tracking, and reporting automation."
,,,
Goal: Understand Basic Investment Concepts,habit_count: 2,task_count: 8,"Extra: 7-week wealth building; finance student learning markets, targeting investment knowledge through stock basics, bond understanding, mutual funds, ETF comparison, risk assessment, portfolio diversification, market analysis, and long-term strategy."
,,,
Goal: Learn Customer Relationship Management,habit_count: 3,task_count: 7,"Extra: 6-week relationship building; sales student maintaining client connections, targeting CRM through contact organization, interaction tracking, follow-up scheduling, pipeline management, customer segmentation, retention strategies, and lifetime value optimization."
,,,
Goal: Master Basic Business Writing,habit_count: 2,task_count: 6,"Extra: 4-week professional communication; business student improving documentation, targeting writing skills through email etiquette, memo creation, report structure, proposal writing, clarity improvement, and professional tone."
,,,
Goal: Understand Supply Chain Basics,habit_count: 2,task_count: 8,"Extra: 6-week operations management; business student learning logistics, targeting supply chain through vendor management, inventory control, quality assurance, cost optimization, delivery tracking, relationship building, risk mitigation, and efficiency improvement."
,,,
Goal: Learn Event Planning Fundamentals,habit_count: 3,task_count: 9,"Extra: 8-week event coordination; hospitality student organizing gatherings, targeting event skills through venue selection, vendor management, budget planning, timeline creation, guest coordination, marketing promotion, day-of execution, problem solving, and post-event analysis."
,,,
Goal: Master Time Management Techniques,habit_count: 3,task_count: 6,"Extra: 4-week productivity optimization; overwhelmed student improving efficiency, targeting time management through priority setting, calendar organization, task batching, distraction elimination, energy optimization, and goal achievement."
,,,
Goal: Understand Basic Economics Principles,habit_count: 2,task_count: 7,"Extra: 6-week market understanding; business student grasping economic forces, targeting economics through supply and demand, market structures, inflation concepts, interest rates, economic indicators, policy impacts, and business cycle analysis."
,,,
Goal: Learn Content Marketing Strategy,habit_count: 2,task_count: 8,"Extra: 7-week audience building; marketing student creating valuable content, targeting content strategy through audience research, editorial planning, content creation, distribution channels, SEO optimization, engagement measurement, community building, and brand authority."
,,,
Goal: Master Basic HR Practices,habit_count: 3,task_count: 7,"Extra: 6-week people management; management student understanding workforce, targeting HR skills through recruitment basics, interview techniques, onboarding processes, performance evaluation, conflict resolution, policy understanding, and employee engagement."
,,,
Goal: Understand Digital Marketing Fundamentals,habit_count: 2,task_count: 9,"Extra: 8-week online promotion; marketing student building digital presence, targeting digital skills through SEO basics, PPC advertising, social media strategy, email campaigns, content marketing, analytics tracking, conversion optimization, mobile marketing, and omnichannel approach."
,,,
Goal: Learn Basic Statistics for Business,habit_count: 3,task_count: 8,"Extra: 7-week data interpretation; business analytics student understanding numbers, targeting statistics through descriptive analysis, probability concepts, hypothesis testing, regression basics, correlation understanding, survey analysis, forecasting methods, and business applications."
,,,
Goal: Master LinkedIn Professional Networking,habit_count: 2,task_count: 6,"Extra: 4-week career building; business student expanding connections, targeting LinkedIn through profile optimization, content sharing, connection strategies, message crafting, group participation, and relationship nurturing."
,,,
Goal: Understand Entrepreneurship Basics,habit_count: 2,task_count: 8,"Extra: 6-week startup foundation; aspiring entrepreneur student launching ventures, targeting entrepreneurship through idea validation, market research, business model design, funding options, legal basics, team building, product development, and launch strategy."
,,,
Goal: Learn Basic Graphic Design Principles,habit_count: 3,task_count: 7,"Extra: 5-week visual communication; marketing student creating appealing materials, targeting design through color theory, typography basics, layout principles, composition rules, software introduction, brand consistency, and visual hierarchy."
,,,
Goal: Master Customer Survey Design,habit_count: 2,task_count: 6,"Extra: 4-week feedback collection; market research student gathering insights, targeting survey skills through question formulation, response scales, bias elimination, distribution methods, data collection, and actionable analysis."
,,,
Goal: Understand Business Ethics Fundamentals,habit_count: 2,task_count: 7,"Extra: 5-week moral decision making; business student navigating ethical dilemmas, targeting ethics through case study analysis, stakeholder consideration, decision frameworks, corporate responsibility, transparency principles, integrity maintenance, and reputation management."
,,,
Goal: Learn Human Anatomy Basics,habit_count: 3,task_count: 8,"Extra: 10-week body systems; pre-med student building foundation, targeting anatomy through system memorization, organ identification, function understanding, medical terminology, diagram labeling, clinical correlations, practical applications, and exam preparation."
,,,
Goal: Master Basic Nutrition Principles,habit_count: 2,task_count: 7,"Extra: 6-week healthy eating; health science student understanding food, targeting nutrition through macronutrient balance, vitamin functions, meal planning, dietary guidelines, label reading, supplement evaluation, and lifestyle integration."
,,,
Goal: Understand Exercise Physiology,habit_count: 3,task_count: 6,"Extra: 8-week fitness science; kinesiology student learning body responses, targeting physiology through cardiovascular adaptations, muscle function, energy systems, training principles, recovery processes, and performance optimization."
,,,
Goal: Learn Medical Terminology,habit_count: 3,task_count: 9,"Extra: 8-week healthcare language; pre-health student building vocabulary, targeting terminology through root words, prefixes, suffixes, body systems, disease processes, procedure names, abbreviation meanings, pronunciation practice, and clinical usage."
,,,
Goal: Master Basic First Aid Skills,habit_count: 2,task_count: 6,"Extra: 4-week emergency response; health student preparing for emergencies, targeting first aid through CPR techniques, wound care, choking response, injury assessment, emergency calling, and safety protocols."
,,,
Goal: Understand Mental Health Awareness,habit_count: 2,task_count: 7,"Extra: 6-week psychological wellness; psychology student promoting wellbeing, targeting mental health through disorder recognition, support strategies, crisis intervention, resource identification, stigma reduction, self-care practices, and professional referrals."
